CpG,Weight
(Intercept),140.62617762585
cg00669623,0.162917682157924
cg18634516,-0.868924200664633
cg01752322,-1.53157581341164
cg05636584,-3.70282480771592
cg19033037,-6.19259967921188
cg13732083,0.938816710563326
cg17353431,0.920197148432685
cg10296238,0.0915062760716147
cg08496086,-0.286450604055837
cg12583591,-0.330974194347759
cg25563625,-0.707475273558066
cg25801387,-1.8387955135403
cg15010390,3.59578091442264
cg24856383,4.4651290904463
cg02155558,0.797218634096164
cg12568756,-3.15178176090451
cg17747265,1.00549078750036
cg10968199,2.0950051940285
cg03266158,-3.49084245584744
cg03868770,-0.737563588347971
cg00004883,-12.1961308149348
cg21123519,-0.496822238987313
cg20932053,-0.127873640806945
cg02376916,-0.232083900691343
cg12560128,2.84271814929392
cg25351572,-0.574157051038559
cg01759756,-0.0313886549811971
cg02341645,-0.300047043040081
cg19740763,3.92734657036407
cg25426867,-0.0113709886583962
cg22309983,0.454531978347498
cg09704382,-0.539479090037482
cg12535380,-3.23472061544801
cg06914837,-0.171288870468336
cg14263884,0.634721761979805
cg26732615,0.803252466709989
cg01995067,0.181860142657303
cg13604887,-12.4372699548595
cg17522332,-11.6535335417809
cg25729257,-0.00877819571057277
cg00433917,-1.78741568299217
cg17287998,-10.832742931873
cg06649520,-18.6643096881303
cg12866899,-0.240423689746149
cg10698654,-0.899449481734402
cg11837864,0.0678283061672115
cg26181490,1.36804548733005
cg13404038,0.621379762677652
cg00379619,1.98467622362582
cg08822227,2.59772245711285
cg06068891,0.199080380253595
cg17861914,1.0803605212066
cg12627371,-3.31892824198855
cg23928713,-2.85819839298823
cg05941129,0.236185894628991
cg24858744,12.444580178999
cg03217880,0.00691189856151645
cg20462096,-0.593656288520904
cg16356856,-0.745939476734636
cg24324837,1.18245464813743
cg15867164,-1.77442266342296
cg14006096,0.543011861987146
cg14465747,-0.0193467393371127
cg08944170,-0.587895424798232
cg14292368,-2.47053017288672
cg07502417,2.36165088192479
cg22917346,1.76325310739929
cg26445785,-0.29207621589707
cg06408034,-3.11026299532658
cg04223793,-6.03143371304001
cg06447799,-0.0290852888540368
cg06419771,6.12579415746038
cg18029791,33.4236423149026
cg21154823,-4.89676251645806
cg00751100,-0.139684367836952
cg03118604,-0.149153577492222
cg01456663,0.33738848206485
cg23025395,-3.82892790186356
cg26279261,-0.481899816950975
cg05625471,-1.31925218039084
cg11263042,-0.272517054695809
cg19687780,0.226114424765454
cg18473234,-0.923767120236324
cg12347392,-0.314811890529011
cg00013655,-0.163597392016279
cg11825002,0.746923324075982
cg19965063,-3.21604390155958
cg06550582,0.829331390178596
cg21665078,-4.51289389444244
cg05827468,-1.57649744264896
cg12910900,-0.232253124299891
cg03971521,0.889445538495664
cg12763900,-0.0113384535963
cg19109050,0.0201753423801069
cg05476451,-0.319375497990186
cg01907688,-110.996172342833
cg05828906,-0.475634513623705
cg09553448,0.846004713004794
cg13530507,1.39885941340303
cg20281040,3.85653045806237
cg16555806,-1.97648821415158
cg14590027,-4.83413395659709
cg12788684,1.64453554806212
cg07349767,-1.04659859519237
cg14970029,7.39875941889407
cg00463982,-1.16799774944127
cg07239153,-2.35580734703199
cg08872313,-0.573972429762652
cg00006787,0.559614824361631
cg04638710,0.133221646221338
cg12031060,-0.433990407159598
cg19061982,-9.96957569204582
cg21197905,-2.28065976885976
cg07007778,-3.19982959964472
ch.15.1614682R,17.4810696006879
cg25193867,1.72621247090563
cg13044675,0.276820742142187
cg27094076,-0.528387252985621
cg11861730,-10.1419355353756
cg19913551,0.291373826261313
cg09939854,1.43445018445072
cg19264533,-4.15441798230437
cg27107110,-3.97593313492202
cg09861075,-1.6847087928045
cg03646214,-3.57491703498581
cg22050893,0.0545855833972248
cg06758559,0.37014973417056
cg07748847,0.0703565397426936
cg05768565,-3.16795663758112
cg03787864,0.0218445651237041
cg18877514,1.29050444027896
cg01422274,0.490982777048165
cg07166171,-2.63363618411792
cg05468953,-0.212963702812661
cg08940511,-6.16778834586315
cg17046776,0.00411018165201457
cg11198895,1.57117852007797
cg11298379,1.95082572773624
cg23002658,-25.9999391712679
cg11111696,0.696392551606753
cg00700324,-3.5758791362424
cg01786828,-20.0378368056065
cg11692577,0.00759312300932983
cg14653877,-0.615364694618767
cg18334121,-4.38886789501927
cg09700602,1.08428680478869
cg19586116,4.41479164569397
cg20305028,-2.17432389730925
cg07949516,-0.00866306822690031
cg07043305,1.41432868831191
cg02313554,0.727347007073645
cg07655617,-3.72846691166285
cg04271792,0.308143272571601
cg03641300,1.50634488753585
cg16681199,0.0352165828593859
cg12944183,2.67005531991585
cg26876637,-1.04633516397882
cg18181703,-0.61607633869293
cg05138403,-4.58242696238313
cg00583492,-5.49362484185415
cg15869071,1.57738230681666
cg26575471,2.96858606849963
cg03607728,-3.22362324090578
cg08878390,-10.0109722835928
cg08276524,1.41946515650374
cg18384235,-11.9743045321344
cg08999896,-2.75418950347333
cg05631399,-4.68342186593233
cg01162053,-0.0270211313458153
cg23353543,-18.6565894629851
cg07476130,3.08335611644231
cg07421368,0.0678499312718701
cg17545662,-7.9344622750913
cg15818208,1.26486040976029
cg00908189,-17.9989670437687
cg22856972,-1.15723894659884
cg15065896,5.37919676699503
cg08650132,-9.4876099936383
cg21813546,1.72484465054771
cg04255048,9.67952632806511
cg03762366,0.862145776076956
cg08822779,1.55003440157942
cg14587401,0.176925107377844
cg23805884,8.17793047501186
cg24503109,2.22170379384877
cg02867402,0.00257298720211459
cg00858973,0.308124986292643
cg07781040,0.152847967733631
cg22834713,-5.79112911828909
cg25131544,-2.62015858983614
cg21437766,1.46570229411069
cg17721355,2.25670752130172
cg18880390,0.767732040260804
cg15159625,-3.8160153694301
cg12516767,1.82951380986271
cg27637521,-7.39532894555718
cg24653125,0.191935553844191
cg27572120,-1.57788760755478
cg08296037,-0.0860703609214084
cg05641351,3.6543723724558
cg13952988,-4.42804116844641
cg01870681,10.2386784386398
cg04195855,-4.38646047980829
cg03379477,0.356002553854306
cg16449687,-0.716562415142088
cg25288085,0.090909276907206
cg18495563,1.42221357831185
cg06041188,2.91479293970826
cg08303483,-0.611055276175531
cg22290117,-0.528705833404032
cg17045534,1.15172358929562
cg10665071,-0.252841389776921
cg24098762,-2.18959412250125
cg25141757,-0.657870721622758
cg09874052,-11.7053554168765
cg26624387,-2.16400358803375
cg13356896,-1.8319447119334
cg20863107,-6.57840235069476
cg04025889,4.93422112406068
cg24258439,2.67811850822122
cg25639557,-1.51459834572659
cg04872869,12.6819962488662
cg20829055,-6.52138195167269
ch.3.2637085F,-0.0697146690319505
cg03842440,0.218477677413008
cg00075467,0.684204482166686
cg01150641,4.71234125085777
cg24293588,-4.70107872025316
cg08815359,-1.85094321433638
cg00390259,-0.0275763485996294
cg18803104,1.01995515692765
cg25349610,1.13947985607693
cg15105969,-0.27238148102522
cg19369022,2.39068415656716
cg19005168,0.327592236691139
cg19611175,-0.920703022837404
cg01937669,14.7162483705805
cg08011328,1.84762308880907
cg21245004,0.300092168279586
cg21219203,2.2167040572418
cg02405213,0.56397064504462
ch.6.98329815R,-4.42685372057215
cg24107270,-3.56490118587824
cg09943102,-1.60133369594993
cg15531486,-0.48624724863021
cg02986733,-0.496508815013567
cg01787460,-0.209037551587865
cg20587543,-0.512248033664192
cg10144400,0.313172346593156
cg26872475,2.33814913945956
cg05786548,-16.016485665388
cg26034799,0.289386451297749
cg06597861,-17.2802872120604
cg12225794,1.78523402395287
cg07066932,2.96705359711187
cg19859270,2.78819790894435
cg26934214,5.8318538787431
cg07060183,-10.4393329188251
cg04839761,4.58317171163884
cg14775423,-0.494027402797645
cg25212270,0.0672511064857009
cg16526047,0.168332439158584
cg03850936,-0.313551774867892
cg05255305,-0.0693595125649921
cg06395469,2.60911481182496
cg12612137,2.23774015795203
cg26767387,-2.77956833813069
cg02268951,-7.94561570826594
cg11935738,1.1936150819224
cg04650238,-2.86281890253873
cg26579550,2.70417319364002
cg03739480,-6.6136763609726
cg01086847,-14.2453693307505
cg11861491,0.42392345341805
cg13081704,-1.9449842544355
cg18440470,17.2377744547869
cg03928431,0.118630339011071
cg19452011,0.557108118304627
cg22473097,-0.864026156028217
cg23145622,2.98876581326064
cg08897392,-1.82294647908335
cg15679098,-1.15593333650172
cg06679694,0.311903308817423
cg21418076,-0.952994688553452
cg13428681,1.90391790825213
cg17031751,-0.177180677683145
cg02186409,-1.08782916867764
cg20474675,1.18302858810986
cg09165964,7.5748764323438
cg07868155,-0.409809323575864
cg04892600,-1.42636940561755
cg09026224,1.1542913915274
cg04833017,3.06708803527354
cg04653913,0.733927290863201
cg19477247,1.98108571132594
cg13323047,1.26599525163789
cg16252808,0.00189211792174065
cg11280964,-6.72713045886947
cg07857331,1.60094870314961
cg17795240,0.187353959064269
cg11794735,-9.06500760729181
cg05787839,0.0133540154585249
cg05333442,-0.538874030403708
cg12298140,8.69320818257942
cg11644424,-0.205306578362875
cg23636682,2.44103114126541
cg13054234,1.20128708597072
cg18686665,-0.558827196786079
cg02521750,1.84333992519765
cg05173789,-15.5014296760515
cg20098478,0.804211017631491
cg22370480,-3.69946133202073
cg21717369,-0.310959923248592
cg12209042,-5.21461548309442
cg07084161,2.79493931789003
cg23725149,-4.0330517892985
cg04674755,0.618861434948522
cg26421448,-4.38836019739433
cg10365597,0.820419202486002
cg07969669,-1.324703751687
cg13519851,-1.09336552654922
cg26590799,1.28158726226501
cg01330016,-2.60722843722922
cg03841251,1.06774152240085
cg08229615,0.244386685361439
cg21297395,-0.0203767681860753
cg17852841,-0.320977687354949
cg21283066,-0.81740999872785
cg19052384,0.0369736484511612
cg00028022,-0.385595763142924
cg27621721,2.07924201160512
cg23640929,0.88607316920391
cg00416492,4.5423139371516
cg11074353,0.504060301689478
cg13297120,-13.4466646007568
cg08524641,-0.127691761202357
cg13448625,3.15756470385513
cg01560934,0.0100766214587401
cg05325934,-5.07843805366056
cg26294145,-0.448837236112136
cg10574006,-0.492629386158111
cg14941457,0.62601173016978
cg11951449,2.80672885714925
cg18333807,0.0200607044812315
cg14331765,1.45292803737283
cg08464831,1.87742379185913
cg01717881,-7.22533252195474
cg21130718,-1.96141860981884
cg10279487,-2.43922347090347
cg13105730,-7.03711578577992
cg24949747,-3.02216100024614
cg23914842,-0.134277696676653
cg07080946,-4.64582835592583
cg22200330,-0.367091795461525
cg01498907,8.21272013638244
cg17798563,-1.21231037057389
cg05464302,-4.84587694322645
cg07387335,-0.647106785775723
cg00548296,-1.36658444270281
cg00377653,0.644179136941698
cg24125890,0.838078321232335
cg11367159,1.35191914625812
cg02531227,-0.186498497385404
cg20761187,-0.0153515013945483
cg04060909,0.751221291714586
cg06738356,0.167380725085074
cg15568439,-3.54740314444218
cg26911120,-1.35720643895841
cg18073380,-17.5838377071964
cg15312673,-2.09179966702325
cg11728787,1.44819375577247
cg01707820,2.14150492553021
cg10005894,10.3874424655969
cg13246242,-2.1632264681252
cg21665747,-2.40060879989605
cg00516870,5.34526788949613
cg02238453,1.38507628223511
cg15998686,-6.42771180755161
cg18714585,3.51863900724783
cg04884318,-0.729448424558861
cg12603576,-3.69792105836323
cg21145140,-3.3801865186351
cg00140910,4.919561318421
cg06745656,9.23430964643191
cg14780466,0.559731590760265
cg14068721,-0.0751508706602051
cg24775327,-1.34270059425015
cg01624202,-0.156552462064594
